거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,date
"78,000",2004,2020,언주로86길,00025,00000,11680,01,0,4166619,역삼동,0707,0015,11680,10100,1,우정에쉐르3,12,1,11680-595,63.67,707-15,11680,4,20201213051618
"250,000",2005,2020,선릉로69길,00020,00000,11680,01,0,4166489,역삼동,0755,0004,11680,10100,1,e-편한세상,12,2,11680-3622,84.991,755-4,11680,11,20201213051618
"179,500",1994,2020,선릉로18길,00012,00000,11680,01,0,4166481,개포동,0172,0003,11680,10300,1,현대,12,2,11680-291,133.68,172-3,11680,4,20201213051618
"146,000",1987,2020,언주로,00003,00000,11680,02,0,3005086,개포동,0658,0001,11680,10300,1,개포6차우성아파트1동~8동,12,4,11680-284,54.98,658-1,11680,1,20201213051618
"137,080",1997,2020,학동로,00408,00000,11680,02,0,3122011,삼성동,0003,0001,11680,10500,1,삼성월드타워,12,4,11680-598,83.849,3-1,11680,14,20201213051618
"215,000",2008,2020,학동로68길,00029,00000,11680,01,0,4166816,삼성동,0016,0002,11680,10500,1,삼성동힐스테이트 1단지,12,4,11680-3834,84.236,16-2,11680,1,20201213051618
"420,000",2004,2020,영동대로,00640,00000,11680,03,0,2122002,삼성동,0087,0000,11680,10500,1,아이파크,12,7,11680-472,167.72,87,11680,46,20201213051618
"245,000",1985,2020,삼성로,00150,00000,11680,04,0,3122005,대치동,0511,0000,11680,10600,1,한보미도맨션2,12,7,11680-481,84.96,511,11680,13,20201213051618
"370,000",2004,2020,압구정로42길,00078,00000,11680,01,0,4166523,신사동,0632,0000,11680,10700,1,중앙하이츠파크,12,1,11680-549,184.02,632,11680,20,20201213051618
"36,000",2004,2020,학동로,00165,00000,11680,03,0,3122011,논현동,0058,0002,11680,10800,1,마일스디오빌,12,2,11680-551,36.29,58-2,11680,8,20201213051618
"210,000",1977,2020,압구정로,00321,00000,11680,03,0,3122007,압구정동,0490,0000,11680,11000,1,한양1차(영동한양),12,1,11680-378,63.87,490,11680,4,20201213051618
"398,000",1979,2020,압구정로,00201,00000,11680,03,0,3122007,압구정동,0456,0000,11680,11000,1,"현대7차(73~77,82,85동)",12,3,11680-421,144.2,456,11680,14,20201213051618
"324,000",1978,2020,압구정로,00201,00000,11680,03,0,3122007,압구정동,0456,0000,11680,11000,1,"현대6차(78~81,83,84,86,87동)",12,7,11680-420,144.7,456,11680,13,20201213051618
"85,500",2014,2020,자곡로,00175,00000,11680,02,0,3122014,자곡동,0602,0000,11680,11200,1,엘에이치강남아이파크,12,1,11680-4332,74.97,602,11680,7,20201213051618
"85,550",2014,2020,자곡로,00175,00000,11680,02,0,3122014,자곡동,0602,0000,11680,11200,1,엘에이치강남아이파크,12,1,11680-4332,74.97,602,11680,7,20201213051618
"86,800",2014,2020,자곡로,00175,00000,11680,02,0,3122014,자곡동,0602,0000,11680,11200,1,엘에이치강남아이파크,12,1,11680-4332,74.97,602,11680,11,20201213051618
"84,800",2014,2020,자곡로,00175,00000,11680,02,0,3122014,자곡동,0602,0000,11680,11200,1,엘에이치강남아이파크,12,2,11680-4332,74.97,602,11680,5,20201213051618
"86,250",2014,2020,자곡로,00175,00000,11680,02,0,3122014,자곡동,0602,0000,11680,11200,1,엘에이치강남아이파크,12,7,11680-4332,74.89,602,11680,13,20201213051618
"98,750",2014,2020,자곡로,00175,00000,11680,02,0,3122014,자곡동,0602,0000,11680,11200,1,엘에이치강남아이파크,12,7,11680-4332,84.92,602,11680,11,20201213051618
