코드,레벨,상위코드,코드명
13600,3,43110,가경동
10900,3,46150,가곡동
10800,3,48270,가곡동
35000,3,42230,가곡면
35000,3,42850,가곡면
32000,3,43800,가곡면
32022,3,43800,가곡면 가대리
32025,3,43800,가곡면 대대리
32024,3,43800,가곡면 덕천리
35025,3,42230,가곡면 동활리
35025,3,42850,가곡면 동활리
32027,3,43800,가곡면 보발리
32021,3,43800,가곡면 사평리
32026,3,43800,가곡면 어의곡리
32023,3,43800,가곡면 여천리
35021,3,42230,가곡면 오목리
35021,3,42850,가곡면 오목리
35023,3,42230,가곡면 오저리
35023,3,42850,가곡면 오저리
35022,3,42230,가곡면 탕곡리
35022,3,42850,가곡면 탕곡리
35024,3,42230,가곡면 풍곡리
35024,3,42850,가곡면 풍곡리
32028,3,43800,가곡면 향산리
38000,3,43130,가금면
38000,3,43780,가금면
38023,3,43130,가금면 가흥리
38023,3,43780,가금면 가흥리
38027,3,43130,가금면 루암리
38027,3,43780,가금면 루암리
38022,3,43130,가금면 봉황리
38022,3,43780,가금면 봉황리
38026,3,43130,가금면 용전리
38026,3,43780,가금면 용전리
38024,3,43130,가금면 장천리
38024,3,43780,가금면 장천리
38001,3,43780,가금면 창동
38028,3,43130,가금면 창동리
38028,3,43780,가금면 창동리
38021,3,43130,가금면 탑평리
38021,3,43780,가금면 탑평리
38002,3,43780,가금면 하구암동
38025,3,43130,가금면 하구암리
38025,3,43780,가금면 하구암리
32000,3,41730,가남면
32026,3,41730,가남면 건장리
32038,3,41730,가남면 금곡리
32037,3,41730,가남면 금당리
32024,3,41730,가남면 대신리
32032,3,41730,가남면 본두리
32028,3,41730,가남면 삼군리
32040,3,41730,가남면 삼승리
32022,3,41730,가남면 상활리
32039,3,41730,가남면 송림리
32023,3,41730,가남면 신해리
32027,3,41730,가남면 심석리
32034,3,41730,가남면 안금리
32035,3,41730,가남면 양귀리
32036,3,41730,가남면 연대리
32029,3,41730,가남면 오산리
32025,3,41730,가남면 은봉리
32030,3,41730,가남면 정단리
32021,3,41730,가남면 태평리
32033,3,41730,가남면 하귀리
32031,3,41730,가남면 화평리
25000,3,41670,가남읍
25026,3,41670,가남읍 건장리
25038,3,41670,가남읍 금곡리
25037,3,41670,가남읍 금당리
25024,3,41670,가남읍 대신리
25032,3,41670,가남읍 본두리
25028,3,41670,가남읍 삼군리
25040,3,41670,가남읍 삼승리
25022,3,41670,가남읍 상활리
25039,3,41670,가남읍 송림리
25023,3,41670,가남읍 신해리
25027,3,41670,가남읍 심석리
25034,3,41670,가남읍 안금리
25035,3,41670,가남읍 양귀리
25036,3,41670,가남읍 연대리
25029,3,41670,가남읍 오산리
25025,3,41670,가남읍 은봉리
25030,3,41670,가남읍 정단리
25021,3,41670,가남읍 태평리
25033,3,41670,가남읍 하귀리
25031,3,41670,가남읍 화평리 
90800,3,41150,가능1동
90900,3,41150,가능2동
91000,3,41150,가능3동
11000,3,41150,가능동
01000,3,41150,가능리
10400,3,31200,가대동
33000,3,43710,가덕면
33029,3,43710,가덕면 계산리
33025,3,43710,가덕면 국전리
33033,3,43710,가덕면 금거리
33036,3,43710,가덕면 내암리
33027,3,43710,가덕면 노동리
33021,3,43710,가덕면 노현리
33032,3,43710,가덕면 병암리
33024,3,43710,가덕면 삼항리
33026,3,43710,가덕면 상대리
33034,3,43710,가덕면 상야리
33030,3,43710,가덕면 수곡리
33031,3,43710,가덕면 시동리
33028,3,43710,가덕면 인차리
33022,3,43710,가덕면 청용리
33035,3,43710,가덕면 한계리
33023,3,43710,가덕면 행정리
01100,3,11200,가락동
02600,3,11680,가락동
10700,3,11710,가락동
00700,3,11740,가락동
90100,3,21440,가락동
31000,3,48780,가락면
31001,3,48780,가락면 대사리
31024,3,48780,가락면 봉림리
31002,3,48780,가락면 북정리
31003,3,48780,가락면 상덕리
31022,3,48780,가락면 식만리
31004,3,48780,가락면 제도리
31023,3,48780,가락면 죽동리
31021,3,48780,가락면 죽림리
31000,3,48720,가례면
31026,3,48720,가례면 가례리
31021,3,48720,가례면 갑을리
31023,3,48720,가례면 개승리
31024,3,48720,가례면 괴진리
31028,3,48720,가례면 대천리
31029,3,48720,가례면 봉두리
31025,3,48720,가례면 수성리
31022,3,48720,가례면 양성리
31027,3,48720,가례면 운암리
90700,3,11530,가리봉1동
90800,3,11530,가리봉2동
90900,3,11530,가리봉3동
10300,3,11530,가리봉동
01800,3,11560,가리봉동
41000,3,48880,가북면
41026,3,48880,가북면 몽석리
41027,3,48880,가북면 박암리
41021,3,48880,가북면 용산리
41025,3,48880,가북면 용암리
41022,3,48880,가북면 우혜리
41023,3,48880,가북면 중촌리
41024,3,48880,가북면 해평리
12600,3,41550,가사동
33500,3,46710,가사문학면
33530,3,46710,가사문학면 가암리
33525,3,46710,가사문학면 경상리
33528,3,46710,가사문학면 구산리
33527,3,46710,가사문학면 만월리
33526,3,46710,가사문학면 무동리
33523,3,46710,가사문학면 연천리
33529,3,46710,가사문학면 인암리
33524,3,46710,가사문학면 정곡리
33522,3,46710,가사문학면 지곡리
33531,3,46710,가사문학면 풍암리
33521,3,46710,가사문학면 학선리
10100,3,11545,가산동
33000,3,41650,가산면
33000,3,41810,가산면
33000,3,47850,가산면
33023,3,47850,가산면 가산동
33024,3,41650,가산면 가산리
33024,3,41810,가산면 가산리
33036,3,47850,가산면 가산리
33022,3,41650,가산면 감암리
33022,3,41810,가산면 감암리
33026,3,41650,가산면 금현리
33026,3,41810,가산면 금현리
33022,3,47850,가산면 금화동
33035,3,47850,가산면 금화리
33021,3,47850,가산면 다부동
33034,3,47850,가산면 다부리
33021,3,41650,가산면 마산리
33021,3,41810,가산면 마산리
33028,3,41650,가산면 마전리
33028,3,41810,가산면 마전리
33023,3,41650,가산면 방축리
33023,3,41810,가산면 방축리
33033,3,47850,가산면 석우동
33046,3,47850,가산면 석우리
33047,3,47850,가산면 송학리
33029,3,47850,가산면 신장동
33042,3,47850,가산면 신장리
33028,3,47850,가산면 심곡동
33041,3,47850,가산면 심곡리
33025,3,47850,가산면 용수동
33038,3,47850,가산면 용수리
33027,3,41650,가산면 우금리
33027,3,41810,가산면 우금리
33024,3,47850,가산면 응추동
33037,3,47850,가산면 응추리
33025,3,41650,가산면 정교리
33025,3,41810,가산면 정교리
33026,3,47850,가산면 천평동
33039,3,47850,가산면 천평리
33027,3,47850,가산면 하판동
33040,3,47850,가산면 하판리
33032,3,47850,가산면 학산동
33045,3,47850,가산면 학산리
33031,3,47850,가산면 학상동
