지역코드,동코드,level,코드명
11000,00000,1,서울특별시
11110,00000,2,종로구
11110,10100,3,청운동
11110,10200,3,신교동
11110,10300,3,궁정동
11110,10400,3,효자동
11110,10500,3,창성동
11110,10600,3,통의동
11110,10700,3,적선동
11110,10800,3,통인동
11110,10900,3,누상동
11110,11000,3,누하동
11110,11100,3,옥인동
11110,11200,3,체부동
11110,11300,3,필운동
11110,11400,3,내자동
11110,11500,3,사직동
11110,11600,3,도렴동
11110,11700,3,당주동
11110,11800,3,내수동
11110,11900,3,세종로
11110,12000,3,신문로1가
11110,12100,3,신문로2가
11110,12200,3,청진동
11110,12300,3,서린동
11110,12400,3,수송동
11110,12500,3,중학동
11110,12600,3,종로1가
11110,12700,3,공평동
11110,12800,3,관훈동
11110,12900,3,견지동
11110,13000,3,와룡동
11110,13100,3,권농동
11110,13200,3,운니동
11110,13300,3,익선동
11110,13400,3,경운동
11110,13500,3,관철동
11110,13600,3,인사동
11110,13700,3,낙원동
11110,13800,3,종로2가
11110,13900,3,팔판동
11110,14000,3,삼청동
11110,14100,3,안국동
11110,14200,3,소격동
11110,14300,3,화동
11110,14400,3,사간동
11110,14500,3,송현동
11110,14600,3,가회동
11110,14700,3,재동
11110,14800,3,계동
11110,14900,3,원서동
11110,15000,3,훈정동
11110,15100,3,묘동
11110,15200,3,봉익동
11110,15300,3,돈의동
11110,15400,3,장사동
11110,15500,3,관수동
11110,15600,3,종로3가
11110,15700,3,인의동
11110,15800,3,예지동
11110,15900,3,원남동
11110,16000,3,연지동
11110,16100,3,종로4가
11110,16200,3,효제동
11110,16300,3,종로5가
11110,16400,3,종로6가
11110,16500,3,이화동
11110,16600,3,연건동
11110,16700,3,충신동
11110,16800,3,동숭동
11110,16900,3,혜화동
11110,17000,3,명륜1가
11110,17100,3,명륜2가
11110,17200,3,명륜4가
11110,17300,3,명륜3가
11110,17400,3,창신동
11110,17500,3,숭인동
11110,17600,3,교남동
11110,17700,3,평동
11110,17800,3,송월동
11110,17900,3,홍파동
11110,18000,3,교북동
11110,18100,3,행촌동
11110,18200,3,구기동
11110,18300,3,평창동
11110,18400,3,부암동
11110,18500,3,홍지동
11110,18600,3,신영동
11110,18700,3,무악동
11110,90100,3,창신1동
11110,90200,3,창신2동
11110,90300,3,창신3동
11110,90400,3,숭인1동
11110,90500,3,숭인2동
11140,00000,2,중구
11140,00100,3,동자동
11140,00200,3,도동1가
11140,00300,3,도동2가
11140,00400,3,양동
11140,10100,3,무교동
11140,10200,3,다동
11140,10300,3,태평로1가
11140,10400,3,을지로1가
11140,10500,3,을지로2가
11140,10600,3,남대문로1가
11140,10700,3,삼각동
11140,10800,3,수하동
11140,10900,3,장교동
11140,11000,3,수표동
11140,11100,3,소공동
11140,11200,3,남창동
11140,11300,3,북창동
11140,11400,3,태평로2가
11140,11500,3,남대문로2가
11140,11600,3,남대문로3가
11140,11700,3,남대문로4가
