법정동명,법정동코드,폐지여부,상위명칭1
강원도,4200000000,존재,
강원도 강릉시,4215000000,존재,강원도
강원도 강릉시 강동면,4215034000,존재,강원도 강릉시
강원도 강릉시 강동면 모전리,4215034022,존재,강원도 강릉시 강동면
강원도 강릉시 강동면 산성우리,4215034030,존재,강원도 강릉시 강동면
강원도 강릉시 강동면 상시동리,4215034021,존재,강원도 강릉시 강동면
강원도 강릉시 강동면 심곡리,4215034029,존재,강원도 강릉시 강동면
강원도 강릉시 강동면 안인리,4215034023,존재,강원도 강릉시 강동면
강원도 강릉시 강동면 안인진리,4215034024,존재,강원도 강릉시 강동면
강원도 강릉시 강동면 언별리,4215034031,존재,강원도 강릉시 강동면
강원도 강릉시 강동면 임곡리,4215034025,존재,강원도 강릉시 강동면
강원도 강릉시 강동면 정동진리,4215034028,존재,강원도 강릉시 강동면
강원도 강릉시 강동면 하시동리,4215034026,존재,강원도 강릉시 강동면
강원도 강릉시 강문동,4215011300,존재,강원도 강릉시
강원도 강릉시 견소동,4215011500,존재,강원도 강릉시
강원도 강릉시 교1동,4215090200,폐지,강원도 강릉시
강원도 강릉시 교2동,4215090300,폐지,강원도 강릉시
강원도 강릉시 교동,4215011000,존재,강원도 강릉시
강원도 강릉시 구정면,4215033000,존재,강원도 강릉시
강원도 강릉시 구정면 구정리,4215033023,존재,강원도 강릉시 구정면
강원도 강릉시 구정면 금광리,4215033024,존재,강원도 강릉시 구정면
강원도 강릉시 구정면 덕현리,4215033026,존재,강원도 강릉시 구정면
강원도 강릉시 구정면 어단리,4215033025,존재,강원도 강릉시 구정면
강원도 강릉시 구정면 여찬리,4215033021,존재,강원도 강릉시 구정면
강원도 강릉시 구정면 제비리,4215033027,존재,강원도 강릉시 구정면
강원도 강릉시 구정면 학산리,4215033022,존재,강원도 강릉시 구정면
강원도 강릉시 금학동,4215010600,존재,강원도 강릉시
강원도 강릉시 난곡동,4215013600,존재,강원도 강릉시
강원도 강릉시 남문동,4215010200,존재,강원도 강릉시
강원도 강릉시 남항진동,4215013000,존재,강원도 강릉시
강원도 강릉시 내곡동,4215011600,존재,강원도 강릉시
