코드1,코드2,폐지여부,구분,상위코드,코드명
11000,00000,Y,1,00000,서울특별시
11110,00000,Y,2,11000,종로구
11110,10100,Y,3,11110,청운동
11110,10200,Y,3,11110,신교동
11110,10300,Y,3,11110,궁정동
11110,10400,Y,3,11110,효자동
11110,10500,Y,3,11110,창성동
11110,10600,Y,3,11110,통의동
11110,10700,Y,3,11110,적선동
11110,10800,Y,3,11110,통인동
11110,10900,Y,3,11110,누상동
11110,11000,Y,3,11110,누하동
11110,11100,Y,3,11110,옥인동
11110,11200,Y,3,11110,체부동
11110,11300,Y,3,11110,필운동
11110,11400,Y,3,11110,내자동
11110,11500,Y,3,11110,사직동
11110,11600,Y,3,11110,도렴동
11110,11700,Y,3,11110,당주동
11110,11800,Y,3,11110,내수동
11110,11900,Y,3,11110,세종로
11110,12000,Y,3,11110,신문로1가
11110,12100,Y,3,11110,신문로2가
11110,12200,Y,3,11110,청진동
11110,12300,Y,3,11110,서린동
11110,12400,Y,3,11110,수송동
11110,12500,Y,3,11110,중학동
11110,12600,Y,3,11110,종로1가
11110,12700,Y,3,11110,공평동
11110,12800,Y,3,11110,관훈동
11110,12900,Y,3,11110,견지동
11110,13000,Y,3,11110,와룡동
11110,13100,Y,3,11110,권농동
11110,13200,Y,3,11110,운니동
11110,13300,Y,3,11110,익선동
11110,13400,Y,3,11110,경운동
11110,13500,Y,3,11110,관철동
11110,13600,Y,3,11110,인사동
11110,13700,Y,3,11110,낙원동
11110,13800,Y,3,11110,종로2가
11110,13900,Y,3,11110,팔판동
11110,14000,Y,3,11110,삼청동
11110,14100,Y,3,11110,안국동
11110,14200,Y,3,11110,소격동
11110,14300,Y,3,11110,화동
11110,14400,Y,3,11110,사간동
11110,14500,Y,3,11110,송현동
11110,14600,Y,3,11110,가회동
11110,14700,Y,3,11110,재동
11110,14800,Y,3,11110,계동
11110,14900,Y,3,11110,원서동
11110,15000,Y,3,11110,훈정동
11110,15100,Y,3,11110,묘동
11110,15200,Y,3,11110,봉익동
11110,15300,Y,3,11110,돈의동
11110,15400,Y,3,11110,장사동
11110,15500,Y,3,11110,관수동
11110,15600,Y,3,11110,종로3가
11110,15700,Y,3,11110,인의동
11110,15800,Y,3,11110,예지동
11110,15900,Y,3,11110,원남동
11110,16000,Y,3,11110,연지동
11110,16100,Y,3,11110,종로4가
11110,16200,Y,3,11110,효제동
11110,16300,Y,3,11110,종로5가
11110,16400,Y,3,11110,종로6가
11110,16500,Y,3,11110,이화동
11110,16600,Y,3,11110,연건동
11110,16700,Y,3,11110,충신동
11110,16800,Y,3,11110,동숭동
11110,16900,Y,3,11110,혜화동
11110,17000,Y,3,11110,명륜1가
11110,17100,Y,3,11110,명륜2가
11110,17200,Y,3,11110,명륜4가
11110,17300,Y,3,11110,명륜3가
11110,17400,Y,3,11110,창신동
11110,17500,Y,3,11110,숭인동
11110,17600,Y,3,11110,교남동
11110,17700,Y,3,11110,평동
11110,17800,Y,3,11110,송월동
11110,17900,Y,3,11110,홍파동
11110,18000,Y,3,11110,교북동
11110,18100,Y,3,11110,행촌동
11110,18200,Y,3,11110,구기동
11110,18300,Y,3,11110,평창동
11110,18400,Y,3,11110,부암동
11110,18500,Y,3,11110,홍지동
11110,18600,Y,3,11110,신영동
11110,18700,Y,3,11110,무악동
11110,90100,N,3,11110,창신1동
11110,90200,N,3,11110,창신2동
11110,90300,N,3,11110,창신3동
11110,90400,N,3,11110,숭인1동
11110,90500,N,3,11110,숭인2동
11140,00000,Y,2,11000,중구
11140,00100,N,3,11140,동자동
11140,00200,N,3,11140,도동1가
11140,00300,N,3,11140,도동2가
11140,00400,N,3,11140,양동
11140,10100,Y,3,11140,무교동
11140,10200,Y,3,11140,다동
11140,10300,Y,3,11140,태평로1가
11140,10400,Y,3,11140,을지로1가
11140,10500,Y,3,11140,을지로2가
11140,10600,Y,3,11140,남대문로1가
11140,10700,Y,3,11140,삼각동
11140,10800,Y,3,11140,수하동
11140,10900,Y,3,11140,장교동
11140,11000,Y,3,11140,수표동
11140,11100,Y,3,11140,소공동
11140,11200,Y,3,11140,남창동
11140,11300,Y,3,11140,북창동
11140,11400,Y,3,11140,태평로2가
11140,11500,Y,3,11140,남대문로2가
11140,11600,Y,3,11140,남대문로3가
11140,11700,Y,3,11140,남대문로4가
11140,11800,Y,3,11140,남대문로5가
11140,11900,Y,3,11140,봉래동1가
11140,12000,Y,3,11140,봉래동2가
11140,12100,Y,3,11140,회현동1가
11140,12200,Y,3,11140,회현동2가
11140,12300,Y,3,11140,회현동3가
11140,12400,Y,3,11140,충무로1가
11140,12500,Y,3,11140,충무로2가
11140,12600,Y,3,11140,명동1가
11140,12700,Y,3,11140,명동2가
11140,12800,Y,3,11140,남산동1가
11140,12900,Y,3,11140,남산동2가
