k_apt_id,apt_id
A13880701,8431
A13816202,8554
A13880806,8419
A13881005,8584
A13880105,8423
A13880201,8434
A13880204,8425
A13880603,8557
A13895501,8555
A13880407,8426
A13816002,8437
A13880406,8429
A10025850,8420
A10025850,8421
A10025850,8783
A13816101,8581
A13816001,8428
A13881103,8427
A13895503,8493
A13880602,8435
A15380403,5759
A15380101,5788
A15720101,4487
A15780603,4485
A15780603,4489
A15780002,4486
A15780401,4481
A15720001,4768
A15780703,4496
A15780704,4492
A15780905,4483
A15780604,4484
A15781003,4488
A15780605,4482
A15780701,4494
A15780602,4493
A12281801,2677
A12205001,2642
A12281701,2736
A12281702,2646
A12271402,2645
A13410011,9176
A13410005,9135
A13410007,9205
A13410012,9175
A13410001,9192
A13410008,9137
A13410004,9193
A13410002,9174
A13410006,9136
A13410009,9133
A13410003,9240
A13410010,9134
A15209303,5199
A15209304,5124
A15209206,5116
A15209207,5114
A15209004,5283
A15209305,5119
A15209002,5117
A15280602,5345
A15282105,5118
A15209003,5123
A15275101,5200
A15280303,5202
A15280304,5204
A15208008,5361
A15209202,5120
A15209205,5115
A15209203,5122
A15209201,5121
A13594007,7680
A13593901,7901
A13524009,7669
A13524005,7681
A13524004,7683
A13524011,7671
A13580601,7682
A13580001,7686
A13580002,7673
A13599301,7670
A13599303,7678
A10025203,7672
A10025203,8175
A13599402,7676
A10025675,7674
A10025675,8176
A13524006,7677
A13580602,7679
A13580602,7685
A13881302,8543
A13811205,8473
A13811203,8472
A13811202,8474
A13811202,8612
A13811206,8471
A13881603,8476
A13881401,8475
A10025263,9278
A13480401,8959
A13408003,8866
A13408003,9179
A10027207,9249
A13480403,8868
A15208003,5112
A15283711,5108
A15208005,5272
A15283701,5104
A15283702,5341
A15282405,5106
A15283603,5107
A15279404,5113
A15208201,5109
A15208006,5340
A15279403,5300
A15283707,5110
A15279402,5344
A15283704,5196
A15208202,5192
A15208202,5342
A15208202,5402
A15208204,5254
A15282608,5105
A15282608,5197
A15282403,5111
A15282810,5193
A15283706,5194
A15283709,5251
A15208007,5316
A12102002,3680
A12180407,3522
A12170601,3630
A12180401,3524
A12102005,3525
A12170603,3730
A12102008,3523
A12180506,3526
A10027748,3778
A13980415,2291
A13924205,2284
A13924205,2557
A13980411,2556
A13994501,2424
A13980403,2286
A13980413,2423
A13980019,2273
A13980016,2420
A13980016,2630
A13980401,2477
A13924003,2279
A13924003,2572
A13924004,2280
A13980402,2425
A13980402,2517
A13980402,2586
A13980004,2278
A13980009,2298
A13980012,2281
A13980014,2275
A13980512,2633
A13980801,2292
A13974401,2417
A13974401,2616
A13980604,2294
A13980107,2302
A13980102,2295
A10026289,2480
A13980105,2299
A13980509,2290
A13980510,2297
A13980108,2277
A13980511,2288
A13980513,2274
A13980803,2431
A13980706,2426
A13980010,2289
A13980018,2276
A13980407,2287
A15781201,4722
A14381504,830
A10024751,874
A14381513,775
A14381513,960
A14381510,781
A14375301,890
A14381506,780
A14381516,776
A14380605,827
A14380211,816
A14380211,858
A14381508,779
A14321001,818
A14381512,782
A14381415,778
A14381407,777
A14375303,889
A15285503,5339
A15284101,5144
A15284204,5097
A15205104,5166
A15283803,5075
A15284302,5171
A15284305,5328
A15283801,5240
A15283809,5088
A15205001,5090
A15285804,5079
A15205508,5232
A15283902,5091
A15286602,5391
A15285004,5083
A15286802,5187
A15286801,5226
A15205108,5094
A15286807,5142
A15286809,5078
A15205103,5248
A15286805,5087
A15286806,5096
A15284603,5080
A15288002,5092
A15205405,5086
A15205405,5631
A15288004,5084
A15205303,5231
A15205305,5143
A15284906,5099
A15283806,5085
A15283807,5102
A15205513,5093
A15286210,5095
A15205301,5236
A12282203,2684
A12282201,2649
A12282102,2845
A12205004,2648
A12205003,2682
A10025985,947
A14320304,767
A14383205,769
A14382101,768
A14320001,770
A14320302,772
A14320002,771
A10024667,856
A10026874,946
A14383901,805
A13380104,580
A10026418,735
A13309102,581
A13309101,673
A13380302,688
A13380301,694
A13379001,689
A13380602,654
A13309301,638
A13380703,582
A13380803,655
A13378102,690
A13309404,584
A10026470,752
