k-아파트코드,k-아파트명,"k-단지분류(아파트,주상복합등등)",주소(시군구),주소(읍면동),나머지주소,주소(도로명),주소(도로상세주소),k-세대타입(분양형태),k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과
A10024577,위례포레샤인18단지,,송파구,거여동,,위례북로4길,12,임대,계단식,지역난방,13,685,대명건설,SH공사,2020-10-28 00:00:00.0,0,685,0,0
A10024581,DMC문영퀸즈파크,아파트,은평구,증산동,,증산로13길,44-5,분양,기타,개별난방,0,119,,,2004-06-25 00:00:00.0,0,119,0,0
A10024603,종암sh빌아파트,아파트,성북구,종암동,,종암로9길,71,임대,기타,개별난방,0,104,,,2007-04-20 00:00:00.0,104,0,0,0
A10024615,힐스테이트클래시안아파트,,영등포구,신길동,,신길로28길,9,임대+분양,혼합식,개별난방,14,1476,현대건설,신길9구역 주택재개발정비사업조합,2020-09-23 00:00:00.0,1028,424,24,0
A10024620,인왕산어울림 아파트,,서대문구,홍제동,,통일로26길,17,분양,계단식,개별난방,2,123,금호건설,,2006-07-04 00:00:00.0,0,0,109,0
A10024621,태흥아파트,아파트,관악구,신림동,,호암로,541,분양,기타,개별난방,0,127,,,1995-03-27 00:00:00.0,110,17,0,0
A10024634,신림서초아파트,아파트,관악구,신림동,,호암로16길,5,분양,기타,개별난방,0,109,,,2003-09-02 00:00:00.0,24,85,0,0
A10024636,세양청마루,,노원구,월계동,,석계로13길,35,분양,계단식,개별난방,1,115,세양건설,..,2005-10-27 00:00:00.0,0,115,0,0
A10024638,관악월드메르디앙아파트,아파트,관악구,봉천동,,관악로28길,80,분양,계단식,개별난방,2,118,월드건설(주),미주연립재건축조합,2005-12-02 00:00:00.0,0,118,0,0
A10024667,구의세양아파트 ,아파트,광진구,구의동,,구의강변로,84,분양,계단식,개별난방,2,130,(주)세양건설,(주)세양건설,2002-01-23 00:00:00.0,0,130,0,0
A10024669,동익빌라,연립주택,종로구,구기동,,홍지문길,64,분양,기타,개별난방,0,123,,,1996-11-17 00:00:00.0,0,78,0,0
A10024691,용산센트럴파크 해링턴스퀘어 ,,용산구,한강로3가,,서빙고로,17,임대+분양,혼합식,지역난방,5,0,효성,국제빌딩 주변 제4구역 도시환경 정비사업조합,2020-08-20 00:00:00.0,0,0,0,0
A10024702,장위우방아파트,아파트,성북구,장위동,,화랑로,235,분양,혼합식,개별난방,1,147,(주)우방,(주)우방,2001-12-27 00:00:00.0,82,31,34,0
A10024703,면목 라온 프라이빗 아파트,아파트,중랑구,면목동,,동일로91길,23,임대+분양,계단식,개별난방,4,453,라온건설(주),면목5주택 재건축정비사업조합,2020-06-30 00:00:00.0,171,257,25,0
A10024719,힐스테이트신촌아파트,아파트,서대문구,북아현동,,이화여대8길,123,임대+분양,계단식,개별난방,19,1226,현대건설주식회사,북아현1-1재개발주택조합,2020-08-04 00:00:00.0,631,561,34,0
A10024725,e편한세상 영등포 아델포레,,영등포구,대림동,,신길로,29,임대+분양,계단식,개별난방,13,859,대림산업(주),대림3구역재정비조합,2020-07-29 00:00:00.0,340,519,0,0
A10024733,현진에버빌아파트,아파트,동작구,신대방동,,신대방1나길,45,분양,계단식,개별난방,1,135,(주)현진종합건설,(주)현진종합건설,2003-10-24 00:00:00.0,59,76,0,0
A10024741,사가정 센트럴 아이파크 아파트,아파트,중랑구,면목동,,동일로92길,40,임대+분양,혼합식,개별난방,11,1505,현대산업개발,면목3주택 재건축정비사업조합,2020-07-30 00:00:00.0,378,1040,87,0
A10024749,신림2차금호타운,아파트,관악구,신림동,,신림로3가길,7,분양,혼합식,개별난방,1,126,금호건설,조합,1998-06-01 00:00:00.0,60,50,16,0
A10024751,광장자이아파트,,광진구,광장동,,광나루로,595,분양,계단식,개별난방,2,122,GS건설,GS건설,2008-12-02 00:00:00.0,0,0,41,0
A10024752,신한토탈아파트,,동작구,대방동,,등용로14길,34,분양,복도식,개별난방,1,134,(주) 신한건설,(주)신한건설,1997-11-17 00:00:00.0,44,90,0,0
A10024756,순화동포스코더샵,아파트,중구,순화동,,칠패로,27,분양,기타,개별난방,0,137,,,2007-05-25 00:00:00.0,21,116,0,0
A10024768,아임2030(청년주택),도시형 생활주택(주상복합),강서구,등촌동,,공항대로59가길,14,임대,복도식,개별난방,1,285,(주)대명이십일,대호주택건설,2020-05-01 00:00:00.0,285,0,0,0
A10024770,상계 대창센시티,아파트,노원구,상계동,,수락산로,246,분양,기타,개별난방,0,117,,,2002-07-30 00:00:00.0,0,117,0,0
A10024774,해주드림빌아파트,아파트,은평구,녹번동,,응암로,366,분양,계단식,개별난방,2,111,해주개발주식회사,해주개발주식회사,2001-11-04 00:00:00.0,11,72,28,0
A10024777,상도동 롯데캐슬 비엔,,동작구,상도동,,양녕로,170,분양,계단식,개별난방,4,141,롯데건설,약수아파트 재건축 조합,2010-12-30 00:00:00.0,0,99,42,0
A10024778,상계중앙하이츠아파트,아파트,노원구,상계동,,동일로231길,72,분양,기타,개별난방,0,142,,,1996-10-12 00:00:00.0,71,71,0,0
A10024780,금강주택,연립주택,종로구,평창동,,평창12길,8-22,분양,기타,개별난방,0,168,,,1992-05-19 00:00:00.0,0,168,0,0
A10024787,이편한세상 송파파크센트럴,아파트,송파구,거여동,,오금로,551,임대+분양,혼합식,지역난방,12,1199,대림산업(주),거여2재정비촉진구역 제2지구 주택재개발정비사업조합,2020-06-26 00:00:00.0,532,544,119,0
A10024789,당산센트럴아이파크,아파트,영등포구,당산동5가,,영신로,247,임대+분양,혼합식,개별난방,7,802,현대산업개발,상아현대주택재건축정비사업조합,2020-04-28 00:00:00.0,249,499,54,0
A10024798,상일우성타운,연립주택,강동구,상일동,,상암로,331,분양,기타,개별난방,0,105,,,1989-05-04 00:00:00.0,0,45,0,0
A10024799,대치1차현대아파트,아파트,강남구,대치동,,영동대로57길,28,분양,계단식,지역난방,1,120,현대산업개발,현대산업개발,1990-04-19 00:00:00.0,0,120,0,0
A10024801,황학코아루,,중구,황학동,,난계로11길,30,분양,혼합식,개별난방,3,112,우남건설,한국토지신탁,2010-10-29 00:00:00.0,0,97,2,0
A10024811,남해오네뜨아파트,아파트,동작구,사당동,,사당로2가길,173,분양,혼합식,개별난방,1,131,남해건설,남해건설,2002-12-30 00:00:00.0,60,57,14,0
A10024812,월계우남아파트,아파트,노원구,월계동,,화랑로,355,분양,계단식,개별난방,2,138,우남건설,우남건설,2001-12-04 00:00:00.0,0,138,0,0
A10024813,롯데캐슬노블,아파트,강남구,역삼동,,도곡로13길,19,분양,기타,개별난방,0,117,,,2007-02-26 00:00:00.0,0,0,0,0
A10024814,로데오현대아파트,아파트,강남구,신사동,,압구정로50길,28,분양,혼합식,지역난방,1,139,고려산업개발(주),신사동 한영아파트 1지구 재건축조합,1998-11-16 00:00:00.0,48,27,64,0
A10024815,롯데캐슬리베아파트,아파트,강남구,대치동,,도곡로,404,분양,기타,지역난방,0,144,,,2008-02-22 00:00:00.0,0,0,144,0
A10024819,삼성동한일아파트,아파트,강남구,삼성동,,봉은사로73길,23,분양,기타,개별난방,0,127,,,2001-12-27 00:00:00.0,26,101,0,0
A10024820,현대까르띠에710아파트,아파트,강남구,역삼동,,언주로86길,12,분양,기타,개별난방,0,137,,,2001-11-09 00:00:00.0,0,0,0,0
A10024821,대치롯데캐슬아파트,,강남구,대치동,,삼성로85길,11,분양,기타,지역난방,0,142,,,2002-08-29 00:00:00.0,0,16,111,0
A10024822,송학휴스테이아파트,아파트,도봉구,방학동,,도당로15길,36,분양,계단식,개별난방,3,134,(주)에스에이치건설,성삼연립주택조합,2016-12-01 00:00:00.0,134,0,0,0
A10024823,목동금호타운아파트,아파트,양천구,목동,,목동중앙남로3길,11,분양,기타,개별난방,0,103,,,1995-11-21 00:00:00.0,47,56,0,0
A10024828,DMC롯데캐슬더퍼스트,아파트,은평구,수색동,,수색로,300,임대+분양,혼합식,개별난방,15,1192,롯데건설,수색4재정비촉진구역주택재개발정비사업조합,2020-06-30 00:00:00.0,621,472,99,0
A10024829,대림 우성2차,아파트,영등포구,대림동,,도림로47길,1,분양,계단식,개별난방,1,120,우성건설(주),우성건설(주),1992-11-28 00:00:00.0,0,120,0,0
A10024831,녹번역e편한세상캐슬,아파트,은평구,응암동,,은평로,220,임대+분양,혼합식,개별난방,32,0,대림산업 롯데건설,응암제2구역주택재개발조합,2020-05-19 00:00:00.0,0,0,0,0
A10024849,구로항동우남퍼스트빌,아파트,구로구,항동,,항동로,8,분양,계단식,지역난방,5,337,우남건설,우남건설,2020-06-03 00:00:00.0,0,282,55,0
A10024872,목동 센트럴 아이파크위브 아파트,아파트,양천구,신월동,,남부순환로83길,18,임대+분양,혼합식,개별난방,35,3045,HDC현대산업개발 두산건설(주),조합,2020-05-28 00:00:00.0,1528,1497,20,0
A10024891,서교동 효성해링턴타워 ,아파트,마포구,서교동,,양화로,72,임대,복도식,개별난방,1,913,효성중공업,SH/멀티에셋,2020-04-23 00:00:00.0,913,0,0,0
A10024894,이편한세상서울대입구2차(5단지),아파트,관악구,봉천동,,참숯1길,19,임대+분양,혼합식,개별난방,10,519,삼호건설,봉천제12의1구역주택재개발조합,2020-04-29 00:00:00.0,191,276,52,0
A10024913,반포센트럴자이아파트,아파트,서초구,반포동,,반포대로,310-6,임대+분양,계단식,지역난방,7,0,GS건설,신반포6차 재건축조합,2020-04-28 00:00:00.0,0,0,0,0
A10024927,구로항동제일풍경채포레스트,아파트,구로구,항동,,부광로,96-16,분양,계단식,지역난방,4,345,제일건설(주),제일건설(주),2020-02-27 00:00:00.0,0,296,49,0
A10024932,e편한세상 강동에코포레 아파트,아파트,강동구,길동,,천중로,253,임대+분양,계단식,개별난방,6,366,고려개발(주),길동신동아3차아파트 주택재건축조합,2020-04-14 00:00:00.0,250,116,0,0
A10024938,래미안루센티아 아파트,아파트,서대문구,남가좌동,,거북골로,100,임대+분양,혼합식,지역난방,11,997,삼성물산(주),가재울뉴타운5구역 주택재개발 정비사업조합,2020-02-21 00:00:00.0,391,582,24,0
A10024947,백련산 해모로 아파트,아파트,은평구,응암동,,응암로30길,15,임대+분양,혼합식,개별난방,9,760,한진중공업(주),응암제11구역 주택재개발정비사업조합,2020-06-18 00:00:00.0,413,345,2,0
